log,config,excluded_feature,pattern,run,attribute,attribute_kind,metric,value
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:Project,categorical,accuracy,0.9135429859161376
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:Project,categorical,accuracy,0.8415961861610413
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:Project,categorical,accuracy,0.873941957950592
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:Project,categorical,accuracy,0.929262399673462
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,7,case:Project,categorical,accuracy,0.9353083968162536
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,8,case:Project,categorical,accuracy,0.8712213039398193
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,9,case:Project,categorical,accuracy,0.8724305033683777
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:RequestedAmount,numerical,mae,0.0530936270952224
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:RequestedAmount,numerical,mae,0.0590771473944187
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:RequestedAmount,numerical,mae,0.2723992168903351
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:RequestedAmount,numerical,mae,0.0533455573022365
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:RequestedAmount,numerical,mae,0.0663614049553871
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:RequestedAmount,numerical,mae,0.1422118991613388
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:RequestedAmount,numerical,mae,0.0622038654983043
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,7,case:RequestedAmount,numerical,mae,0.1364559829235077
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,8,case:RequestedAmount,numerical,mae,0.079520933330059
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,9,case:RequestedAmount,numerical,mae,0.068040944635868
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,7,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,8,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,9,case:RfpNumber,categorical,accuracy,0.0317412354052066
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,0,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,1,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,2,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,3,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,4,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,5,case:Task,categorical,accuracy,0.75
BPI20_RequestForPayment_CZ,ablate::Activity,Activity,odd,6,case:Task,categorical,accuracy,0.75
