log,excluded_feature,structural,pattern,delta_cat,delta_num,n_significant,n_targets
bpi_2013_CZ,organization country,False,window,0.008003755733370768,-0.00470191463828086,2.0,11.0
bpi_2013_CZ,organization involved,False,attr_level,0.0027763384580612367,-0.0011014089919626768,0.0,11.0
bpi_2013_CZ,organization involved,False,even,0.005149559229612322,-0.0013351323083043258,1.0,11.0
bpi_2013_CZ,organization involved,False,odd,0.006762013137340553,-0.0012331170029938228,0.0,11.0
bpi_2013_CZ,organization involved,False,random,0.0028033524006605055,-0.002711960859596716,0.0,11.0
bpi_2013_CZ,organization involved,False,window,0.0023340594768524263,-0.0025835935026407297,0.0,11.0
bpi_2013_CZ,product,False,attr_level,0.002762772589921961,-0.0012986701913177967,2.0,11.0
bpi_2013_CZ,product,False,even,0.00818114392459392,-0.002425516117364187,1.0,11.0
bpi_2013_CZ,product,False,odd,0.004978546202182776,-0.002332404628396033,0.0,11.0
bpi_2013_CZ,product,False,random,0.002461212947964654,-0.002656856738030903,0.0,11.0
bpi_2013_CZ,product,False,window,0.0019981577247381423,-0.00258838823065162,1.0,11.0
bpi_2013_CZ,resource country,False,attr_level,0.019134815037250542,0.005374524742364883,2.0,11.0
bpi_2013_CZ,resource country,False,even,0.017309194356203067,0.002841397933661914,4.0,11.0
bpi_2013_CZ,resource country,False,odd,0.015194764211773876,0.003793393075466167,3.0,11.0
bpi_2013_CZ,resource country,False,random,0.01610442146658897,0.0021588812582194854,2.0,11.0
bpi_2013_CZ,resource country,False,window,0.01299557752907276,0.002652902621775862,1.0,11.0
bpi_2013_CZ,time:timestamp,False,attr_level,0.02063319073481996,,3.0,11.0
bpi_2013_CZ,time:timestamp,False,even,0.021610017391768353,,4.0,11.0
bpi_2013_CZ,time:timestamp,False,odd,0.023816663162274807,,4.0,11.0
bpi_2013_CZ,time:timestamp,False,random,0.019196072830395247,,1.0,11.0
bpi_2013_CZ,time:timestamp,False,window,0.022565311803059138,,2.0,11.0
sp2020_CZ,Activity,True,attr_level,-0.004227461417516028,0.0001468211412429775,1.0,4.0
sp2020_CZ,Activity,True,even,0.0003999888896942065,0.0005515112541615904,1.0,4.0
sp2020_CZ,Activity,True,odd,0.0004465023676554214,0.000460505113005643,1.0,4.0
sp2020_CZ,Activity,True,random,-0.001380447546641017,8.271485567093104e-05,3.0,4.0
sp2020_CZ,Activity,True,window,8.565982182821379e-05,0.0002877360209822752,1.0,4.0
sp2020_CZ,DEVICETYPE,False,attr_level,-0.0035861750443776375,-0.0009371696040034322,1.0,4.0
sp2020_CZ,DEVICETYPE,False,even,-0.0037200450897216797,-0.0010624528862535915,1.0,4.0
sp2020_CZ,DEVICETYPE,False,odd,-0.003279759486516302,-0.0007935670204460583,1.0,4.0
sp2020_CZ,DEVICETYPE,False,random,-0.00285538037618005,-0.0008860221132636001,1.0,4.0
sp2020_CZ,DEVICETYPE,False,window,-0.002625511089960749,-0.0007636061869561589,1.0,4.0
sp2020_CZ,REPAIR_IN_TIME_5D,False,attr_level,-0.0029133339722950957,-0.0007543548941612403,1.0,4.0
sp2020_CZ,REPAIR_IN_TIME_5D,False,even,-0.0015515168507893213,-0.0007944743148982601,0.0,4.0
sp2020_CZ,REPAIR_IN_TIME_5D,False,odd,-0.0005358060201009854,-0.0005887732841074605,0.0,4.0
sp2020_CZ,REPAIR_IN_TIME_5D,False,random,-0.0027136961619059394,-0.0006630968302488473,0.0,4.0
sp2020_CZ,REPAIR_IN_TIME_5D,False,window,-0.0008124510447184244,-0.0006276105530559992,1.0,4.0
sp2020_CZ,org:resource,False,attr_level,0.008261785904566462,-0.0009115021675825119,1.0,4.0
sp2020_CZ,org:resource,False,even,0.005424020687739062,-0.0010005403310060518,1.0,4.0
sp2020_CZ,org:resource,False,odd,0.01417843898137409,-0.0007752239704132101,1.0,4.0
sp2020_CZ,org:resource,False,random,0.006830535332361849,-0.0008216097019612782,3.0,4.0
sp2020_CZ,org:resource,False,window,0.015249017874399843,-0.0007816617377102292,2.0,4.0
sp2020_CZ,time:timestamp,False,attr_level,-0.0020504966378211698,,1.0,4.0
sp2020_CZ,time:timestamp,False,even,-0.001054671406745894,,0.0,4.0
sp2020_CZ,time:timestamp,False,odd,-0.0008067503571510259,,0.0,4.0
sp2020_CZ,time:timestamp,False,random,-0.0022727206349372753,,1.0,4.0
sp2020_CZ,time:timestamp,False,window,-0.0010334849357604703,,1.0,4.0
