excluded_feature,test_type,org:resource_acc,impact_acc,concept:name_acc,lifecycle:transition_acc,org:group_acc,org:role_acc,organization country_acc,organization involved_acc,product_acc,resource country_acc,time:timestamp_mae,AVG_total_loss,MAE_time:timestamp,Activity_acc
organization involved,random,0.1170329712331295,0.9438642382621765,0.7459530234336853,0.6399478018283844,0.8882506608963012,0.6774580538272857,0.910182774066925,,0.3657963514328003,0.8031331777572632,0.020860502729192376,16.717032356420532,0.018466701451689004,0.6221932232379913
organization involved,window,0.14712643697857858,0.9938864648342133,0.7825327754020691,0.6751091778278351,0.955921059846878,0.7354969382286072,0.9705240428447723,,0.4176855951547623,0.8349345028400421,0.01904861107468605,14.619264580169693,0.01565948985517025,0.6532751142978668
organization involved,attr_level,0.09800569787621498,0.9059431672096252,0.8900269329547882,0.8164893388748169,0.886956536769867,0.5911271154880524,0.9007999897003174,,0.3405333310365677,0.7618925869464874,0.02250209669582546,16.696348918927832,0.019506565667688845,0.7587179780006409
product,odd,0.16114457249641417,1.0,0.8375739812850952,0.6994082927703857,0.936982262134552,0.7455958366394043,0.9718935191631317,0.3706231415271759,,0.852662718296051,0.01777242429088801,13.97181814290525,0.015606021136045456,0.6893491268157959
product,even,0.15184274837374687,1.0,0.7406250298023224,0.6997596442699432,0.9461538791656494,0.7453947424888611,0.9651442766189575,0.37912621796131135,,0.8538461863994599,0.019174984516575934,13.66062827387359,0.01727727483958006,0.7007211804389953
product,random,0.11318681761622429,0.9503916501998901,0.7519582331180572,0.6509138584136963,0.8631853938102723,0.6707434177398681,0.9093994975090027,0.29310344606637956,,0.8135770380496978,0.020501320622861384,16.250554249249397,0.018521805573254824,0.6373368322849273
product,window,0.14275862127542496,0.9975982546806336,0.7875545978546142,0.6895196557044982,0.9493421077728271,0.7326571762561798,0.9657205581665039,0.3610619455575943,,0.8246724963188171,0.018042135657742618,13.921640031412243,0.015654695127159356,0.6803493618965148
product,attr_level,0.09886039867997169,0.9087855458259583,0.8978436470031739,0.8260637998580933,0.8633152425289154,0.5899280667304992,0.8935999929904938,0.25641711950302126,,0.7524296641349792,0.021963008865714072,15.930811775103212,0.019309304468333722,0.7771795153617859
resource country,odd,0.13373493477702142,1.0,0.8319526672363281,0.6928994059562683,0.9372781276702881,0.7383419454097748,0.9704142272472381,0.35608308017253876,0.3943787008523941,,0.024768063658848406,18.59860997418873,0.021731818839907647,0.6786982357501984
resource country,even,0.14103193581104279,1.0,0.7367788791656494,0.7019230961799622,0.9447115778923034,0.7307017624378205,0.96129812002182,0.36334951817989347,0.38461540043354037,,0.02658415324985981,18.168761173496023,0.022544188890606165,0.693750011920929
resource country,random,0.10412088185548782,0.9535248160362244,0.7381201207637786,0.6375979244709015,0.8574412584304809,0.6549160778522491,0.9018276989459991,0.2732095405459404,0.326892951130867,,0.02660878826864064,20.5947488327045,0.023337543569505216,0.6355091571807862
resource country,window,0.1340229868888855,0.999563318490982,0.7764192223548889,0.6864628970623017,0.9491228044033051,0.7190669238567352,0.9587336421012879,0.3539822965860367,0.37707424759864805,,0.024335431191138922,18.17861322995741,0.02089598597958684,0.653493458032608
resource country,attr_level,0.08945868983864784,0.9147287011146545,0.8897574007511139,0.8095744371414184,0.838315224647522,0.5721822559833527,0.8770666599273682,0.24625668823719024,0.29813333302736283,,0.030210995534434914,20.439927404234187,0.025982499402016402,0.7517948985099793
time:timestamp,odd,0.1274096339941025,1.0,0.8156804859638214,0.6825443923473358,0.9355029702186585,0.7347149968147277,0.967159777879715,0.32789316922426226,0.3837278187274933,0.8494082927703858,,19.48043364272744,,0.6642011880874634
time:timestamp,even,0.12555282413959504,0.9995192348957062,0.7367788791656494,0.6983173310756683,0.944711583852768,0.7315789520740509,0.9574519634246826,0.33665048629045485,0.37403847426176073,0.8625000298023224,,18.70062838034937,,0.6951923370361328
time:timestamp,random,0.10054945275187492,0.9394256055355072,0.7362924456596375,0.6396866977214813,0.8587467610836029,0.6491606831550598,0.9091383993625641,0.2530503958463669,0.32663185745477674,0.8049608588218689,,21.526107239723206,,0.6302872121334075
time:timestamp,window,0.11816091984510421,0.9973799169063569,0.759825336933136,0.6768558979034424,0.9471491277217865,0.7093306124210358,0.951965081691742,0.3146017611026764,0.3659388706088066,0.8294759869575501,,19.179273149208164,,0.6565502285957336
time:timestamp,attr_level,0.08404558300971984,0.9069767594337463,0.8808625161647796,0.7970744371414185,0.8559782862663269,0.5726618826389313,0.8853333115577697,0.23636363819241524,0.3,0.7542199432849884,,21.551691196113826,,0.7507692575454712
