excluded_feature,test_type,Activity_acc,org:role_acc,case:Project_acc,case:Task_acc,case:OrganizationalEntity_acc,case:Activity_acc,case:RfpNumber_acc,time:timestamp_mae,case:RequestedAmount_mae,AVG_total_loss,MAE_time:timestamp,MAE_case:RequestedAmount,org:resource_acc
case:Task,random,0.806058120727539,0.8481959760189056,0.5037964195013046,,0.5546041786670685,0.8992729842662811,0.0413269586861133,0.0084564949110658,81.28162637190385,95.02910912752957,0.0083233901299536,79.62739944458008,0.939714539051056
case:Task,window,0.8053381502628326,0.842194813489914,0.7637600839138031,,0.8544236421585083,1.0,0.0399829857051372,0.0080457803158258,12.88794724941254,24.468851011707876,0.0079064211808145,12.931747531890869,0.9968523919582368
case:Task,attr_level,0.8042822778224945,0.8772800028324127,0.4768053770065307,,0.5303208738565445,0.8987204134464264,0.0386879704892635,0.0089061601912941,96.45042266845704,110.26374023942574,0.0087882724590599,96.28741455078124,0.9629530370235444
case:OrganizationalEntity,odd,0.926481282711029,0.985399067401886,0.7750907182693482,0.750181382894516,,1.0,0.0317412354052066,0.0088740659454329,9.979792260039936,21.92390649044801,0.0087584967259317,10.010246801376343,0.9996675014495848
case:OrganizationalEntity,even,0.8685666203498841,0.8877825856208801,0.5613756686449051,0.7541125416755676,,0.9215969443321228,0.0447330437600612,0.0090865427585826,80.68100284229625,93.70777063728312,0.008927783370018,80.70659561157227,0.9995190024375916
case:OrganizationalEntity,random,0.8117124021053315,0.8548734068870545,0.5080236732959748,0.7530315160751343,,0.9148357212543488,0.0413269586861133,0.0092285580298101,83.21855409795587,97.17409321469763,0.0090887251775711,81.59462356567383,0.9517770111560822
case:OrganizationalEntity,window,0.8059123754501343,0.8409187495708466,0.7763292253017425,0.7526584267616272,,1.0,0.0399829857051372,0.0090252393560314,14.331489172848784,26.867646161657337,0.0088667574804276,14.373834896087647,0.9972990095615388
case:OrganizationalEntity,attr_level,0.807110720872879,0.8832980394363403,0.4836778610944748,0.7586150646209717,,0.9157909274101256,0.0386879704892635,0.0092841491695832,98.55591968189586,112.50275774197652,0.0091520086396485,98.4356071472168,0.965234911441803
case:Activity,odd,0.9254837155342102,0.985368835926056,0.7556529849767685,0.750181382894516,0.8163543283939362,,0.03174123540520668,0.007800934226675467,14.65636767690832,27.359031203370115,0.007712264452129603,14.705764889717102,0.9994861245155334
case:Activity,even,0.868855232000351,0.8857142806053162,0.5352813988924027,0.7541125416755676,0.5740740805864334,,0.044733043760061264,0.007500155481763861,84.24014563126998,98.59246383494782,0.007364292675629258,84.2831916809082,0.999422800540924
case:Activity,random,0.8126817107200622,0.8665050745010376,0.48672587275505064,0.7531123578548431,0.5309369713068008,,0.04132695868611336,0.007624334257773377,86.45989577553487,101.89803566163067,0.0074968085624277595,84.85071487426758,0.9398760974407196
case:Activity,window,0.8028923690319061,0.8464908480644227,0.7451935321092605,0.7526584267616272,0.8044661760330201,,0.03998298570513725,0.007623092034323649,13.48443805954673,26.830317358401693,0.00748157650232315,13.528821897506713,0.9965333819389344
case:Activity,attr_level,0.8079037427902221,0.8912513732910157,0.45275168120861053,0.7585880160331726,0.5081016153097153,,0.038687970489263535,0.007728961182080887,102.10149889859287,117.62443068451248,0.007609911682084203,102.02432250976562,0.9662013590335846
case:RfpNumber,odd,0.9251814126968384,0.9854897439479828,0.7622430682182312,0.7501511514186859,0.8267835855484009,1.0,,0.009568298887461423,7.972147736766122,11.757195652178911,0.009533985937014221,7.989610242843628,0.9997279644012451
case:RfpNumber,even,0.8693121790885925,0.8878547310829162,0.5476190567016601,0.7539922893047333,0.5970659047365189,0.9215969443321228,,0.008158411337486045,79.16083720814098,84.85641421468887,0.008060534158721567,79.1698387145996,0.9993987500667572
case:RfpNumber,random,0.8100968897342682,0.86351637840271,0.4970651358366013,0.7530584633350372,0.5391222149133682,0.9174474596977233,,0.008597719353962353,82.94845688559792,89.77444324820854,0.008515788009390235,81.31808319091797,0.9470651149749756
case:RfpNumber,window,0.7816673636436462,0.8416205704212188,0.7633134722709656,0.7526584267616272,0.8338791877031326,1.0,,0.009401470465077595,10.665409833734689,15.165276999009603,0.009317418886348605,10.698206520080566,0.996958726644516
case:RfpNumber,attr_level,0.8059476315975189,0.8883086383342743,0.46942282617092135,0.7586421132087707,0.5152406543493271,0.9154642164707184,,0.008811869978142733,98.37574577331543,105.27020730061076,0.008740975428372622,98.24250411987305,0.9591678023338318
time:timestamp,odd,0.9108222901821137,0.9857013642787933,0.5851874321699142,0.7503023028373719,0.7656288057565689,1.0,0.03174123540520668,,14.34333730285818,27.767585428264415,,14.392342567443848,0.9994256734848023
time:timestamp,even,0.851034152507782,0.8811928749084472,0.43674844205379487,0.7539922893047333,0.5447330579161644,0.9045695245265961,0.044733043760061264,,83.0517442183061,98.13545817672698,,83.08466949462891,0.9996873438358307
time:timestamp,random,0.7936994731426239,0.845934271812439,0.3907377362251282,0.7530315160751343,0.4886914178729057,0.8831178963184356,0.04132695868611336,,88.07731961337004,104.37882076982746,,86.54930038452149,0.9302907526493073
time:timestamp,window,0.7915567696094513,0.8312207520008087,0.5660144537687302,0.7526584267616272,0.7487239420413971,1.0,0.03998298570513725,,13.174970733035696,27.22585579439447,,13.224011182785034,0.9970863342285157
time:timestamp,attr_level,0.7939465761184692,0.880222737789154,0.3613959729671478,0.7586150646209717,0.4674064204096794,0.8787367522716523,0.038687970489263535,,103.41054597334428,119.833563198962,,103.33921813964844,0.9548188030719758
case:RequestedAmount,odd,0.9269347429275513,0.985792052745819,0.8602479100227356,0.7515719592571258,0.8950725793838501,1.0,0.03174123540520668,0.0063513866202397785,,12.170504028764977,0.006268862169235945,,0.999848872423172
case:RequestedAmount,even,0.8747715413570404,0.8880952298641205,0.6200096368789673,0.7549302577972412,0.6364598453044892,0.9215969443321228,0.044733043760061264,0.006072372388602658,,14.171564820192923,0.005934134870767593,,0.9995911538600921
case:RequestedAmount,random,0.8123047530651093,0.8678513407707215,0.5592083692550659,0.7537859976291656,0.5654011607170105,0.9193591415882111,0.04132695868611336,0.006226020932874896,,15.351556891490793,0.00610882299952209,,0.9292406618595124
case:RequestedAmount,window,0.8094215154647827,0.8442152261734008,0.854763925075531,0.7531263113021851,0.8861122906208039,1.0,0.03998298570513725,0.006532572260634466,,12.844212001032957,0.006407953938469291,,0.9967885971069336
case:RequestedAmount,attr_level,0.8085117280483246,0.882794326543808,0.5331006854772568,0.7591830849647522,0.5445722043514252,0.917424476146698,0.038687970489263535,0.0062780802159316165,,15.427471064295702,0.006163883022964001,,0.9525637745857238
